Name,Year,ProgramName,Discipline,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,,,,,,,
f3d6f5c58eb3eaa448c9e161498cecf3,1831,Ph.D,Humanities and Social Science, HS 631 , HS 644 , IN 792, EH 608 , IN 791 , FP 602 ,,,,,,,,,,
cc7da7bc40275bc003308d62c1406cfc,1721,M.Tech,Biological Engineering, HS 648 , BE 699 ,,,,,,,,,,,,,,
67d036044113f8b40de727bed3d3c6e0,1821,M.Tech,Mechanical Engineering, ES 622 , MA 602 , ES 632 , ME 699 ,,,,,,,,,,,,
7662624dd4a5044a2a399aa64191a250,1721,M.Tech,Mechanical Engineering, ME 699 ,,,,,,,,,,,,,,,
daa238a0c98e31670b54bca8e7a9a3a6,1821,M.Tech,Civil Engineering, CE 613 , CE 622 , ES 622 , MA 602 ,,,,,,,,,,,,
97bd98f8cb4527d65f0a8697753891af,1811,B.Tech,Civil Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
5027ccd50f2d447ceae5842580493bee,1611,B.Tech,Civil Engineering, CE 304 , CE 305 , CE 306 , CE 307 , HS 111 , CE 403 , CE 309 , CH 517 , HS 104(R) ,,,,,,,
77f738a05e03a7e87c6b185ca66db335,1511,B.Tech,Civil Engineering, CH 301 , IN 302 , BE 402 , HS 421 ,,,,,,,,,,,,
94159f5125e87b3d2e092c2ef0bbf2ff,1511,B.Tech,Civil Engineering, CE 304 , CE 307 , CH 301 , HS 515 ,,,,,,,,,,,,
6c503b38f85f571ee31fac5d741153e1,1511,B.Tech,Chemical Engineering, ES 615 , HS 103 , HS 635 ,,,,,,,,,,,,,
51184d678e88def3b392f55c04f839b6,1411,B.Tech,Mechanical Engineering, HS 507, HS 513 , HS 515 ,,,,,,,,,,,,,
919c106fca54cdd331aba1474d06bfd6,1811,B.Tech,Chemical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
77e2692ba7e1362b9e7936b173614b4e,1831,Ph.D,Biological Engineering, BE 601 , BE 611 , FP 602 , BE 402 ,,,,,,,,,,,,
6275dd583f95c59d61dd7193c5a9b67f,1511,B.Tech,Chemical Engineering, CL 602 , ES 615 , CL 499 ,,,,,,,,,,,,,
803aca77ab0d6c4a1b84689bd2395849,1611,B.Tech,Comp Science & Engg, HS 103 , PH 399 ,,,,,,,,,,,,,,
be8f795f763ec0a2557842e911942d85,1331,Ph.D,Chemical Engineering, CL 799 ,,,,,,,,,,,,,,,
da32d2fa0748c6cf462e5cc49654ee14,1451,Ph.D,Cognitive Sciences, CG 799 ,,,,,,,,,,,,,,,
e4cd3f17781f3c41dd71a3bb27c95658,1621,Ph.D,Biological Engineering, IN 792 , BE 605 , IN 791 , FP 602 , BE 402 , BE 403 ,,,,,,,,,,
