Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
37594b49e3e5365dbd06dbd4470160b7, CG 501 , CG 506 , CG 601 , IN 792, CG 605 , FP 602 ,,,
39bc66076e67a71fc3869f4c0438f444, HS 112 ,,,,,,,,
a1d59612795475edf5afb99bd97e24fb, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 , MS 204 ,,
d81c8fee23ab66f3ab3b24e651c17333, MA 602 , CE 799 , CE 631 ,,,,,,
7b2d61fc8a7e352f998fac95a5fc4d45, ES 332 , HS 635 , ME 322 , ME 332 , ME 352 , ME 391 , MS 204 ,,
8d0dca5827d371d893b4303a2e9844ee, EE 609 , ES 615 , MA 602 , HS 421 , ES 654 ,,,,
c3976d66a821f8c45a1b9a654b7aa0b6, CH 301 , IN 302 , CE 399 , BE 402 ,,,,,
b5f41941c4d63893a55dd486b7206e43, MSE 699 ,,,,,,,,
997bf34456f784c1c7ca9fa11d36ba73, ES 622 , MSE 626 , CH 517 , CH 632 , MS 304 ,,,,
73b29dfd74da6b7ebaa4a98bd1621674, PH 504 , PH 505 , PH 506 , PH 507 , PH 599 ,,,,
c88e6c678e612db63f9222cb0e7c4f02, HSS 799 ,,,,,,,,
727f4d4d288c5341e4d0366f41567092, CL 699 , MS 304 ,,,,,,,
a5c77a3a11b3943b7124b7f345f8de3d, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
9b20517f57a87d6a63558b4b8b7105e1, CG 501 , CG 506 , IN 792 , CG 601 , BE 608 , FP 602 ,,,
da32d2fa0748c6cf462e5cc49654ee14, CG 799 ,,,,,,,,
d146882e312ef68587c2ce9373bd05c4, CL 799 ,,,,,,,,
6c3b635686cf8c2b250d5b21e1d380c0, CE 699 ,,,,,,,,
cd5f6cd29be5b97d6c1c20f419d38a8d, HS 103 ,,,,,,,,
71ea23d5b1fc284be70ee346489fd054, HS 103 ,,,,,,,,
23477d6bd346941320f47d91120f2327, CH 512 , CH 622 , HS 631 , CH 508 , CH 519 , CH 521 ,,,
f9b0ab3aa871e41561e75ff140b8a6d1, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,
0a9c00b8601378714d4ae82aabb5805f, HS 635 , MS 204 ,,,,,,,
0175e4c3fae68ccc70b2080c23f582a0, CE 304 , CE 305 , CE 306 , CE 307 , HS 635 , CE 403 , CE 309 , MS 204 ,
9276bf261aab5cd36407caf3669d1021, CE 613 , CE 622 , ES 622 , MA 602 , CE 798 , CE 799 ,,,
c307069e1d5bde4843b7132dff535ac5, CH 301 , ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , ME 626 , EH 608 ,
1a38d0a31a579dace3ae0adeaccd029a, ME 699 ,,,,,,,,
f1f4ab38e0623d12f10fc5a4bf2ac164, CL 799 ,,,,,,,,
22ac80f2edace7d3c3178726d2cfd23c, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
488f1ce73be6b8d38888633a2753cda5, CS 799 ,,,,,,,,
0cdfab1f1f224208e3b6f1c0503436f6, ES 221 , CE 202 , ES 202 , ES 212 , HS 201 , MA 202 ,,,
2b724b919871e47172d99505d861c188, IN 792 , BE 799 , CE 631 , FP 602 ,,,,,
ab44d16128e51165f3b82f83235731d9, EE 331 , ES 105 , ES 202 , HS 201 , MA 202 , ES 216 , Systems and Networks,,
f70a310e23f9ddf52156f673f7ebb991, HSS 799 ,,,,,,,,
75e967fa15c075545680bf62b06c2e71, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
