Year,ProgramName,Discipline
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Chemical Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Civil Engineering
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
1611,B.Tech,Comp Science & Engg
